unique_key,created_date,closed_date,complaint_type,borough,agency,status,time_to_close_days,date,tmin,tmax,precipitation,wind,temp_avg,rainy_day
INC500117,2023-06-23 16:00:00,2023-07-07 16:00:00,Water System,QUEENS,DSNY,Pending,14,2023-06-23,10.3,24.4,1.46,13.4,17.35,1
INC500118,2023-11-26 13:20:00,2023-11-27 13:20:00,Derelict Vehicle,STATEN ISLAND,DOT,Closed,1,2023-11-26,-5.2,27.4,0.05,3.3,11.1,0
INC500119,2023-10-19 11:44:00,2023-10-26 11:44:00,Heat,QUEENS,DSNY,Pending,7,2023-10-19,12.3,15.5,0.41,3.0,13.9,1
INC500120,2023-08-21 21:33:00,2023-08-23 21:33:00,Rodent,BROOKLYN,DEP,Closed,2,2023-08-21,-4.4,19.6,0.0,1.2,7.6000000000000005,0
INC500121,2023-02-20 15:02:00,2023-03-06 15:02:00,Heat,QUEENS,NYC 311,Closed,14,2023-02-20,6.4,6.3,0.09,11.3,6.35,0
INC500122,2023-09-08 00:24:00,2023-09-10 00:24:00,Heat,BRONX,DOB,Open,2,2023-09-08,18.0,2.0,0.0,15.9,10.0,0
INC500123,2023-03-06 03:59:00,2023-03-16 03:59:00,Blocked Driveway,BROOKLYN,NYC 311,Closed,10,2023-03-06,-0.4,11.9,0.49,13.7,5.75,1
INC500124,2023-03-06 18:47:00,2023-03-06 18:47:00,Heat,MANHATTAN,NYPD,Open,0,2023-03-06,-0.4,11.9,0.49,13.7,5.75,1
INC500125,2023-06-27 22:03:00,2023-07-11 22:03:00,Street Condition,MANHATTAN,DOT,Closed,14,2023-06-27,-5.0,24.8,0.18,4.3,9.9,0
INC500126,2023-04-16 06:33:00,2023-04-23 06:33:00,Noise - Residential,STATEN ISLAND,NYPD,Closed,7,2023-04-16,1.2,14.7,0.1,3.2,7.949999999999999,0
INC500127,2023-06-27 10:15:00,2023-06-28 10:15:00,Water System,BRONX,DEP,Closed,1,2023-06-27,-5.0,24.8,0.18,4.3,9.9,0
INC500128,2023-04-20 12:58:00,2023-04-27 12:58:00,Street Condition,MANHATTAN,NYPD,Open,7,2023-04-20,10.4,16.6,0.13,5.8,13.5,0
INC500129,2023-12-29 21:30:00,2023-12-30 21:30:00,Illegal Parking,BROOKLYN,DOB,Closed,1,2023-12-29,-3.6,16.6,0.0,6.5,6.500000000000001,0
INC500130,2023-01-08 15:01:00,2023-01-09 15:01:00,Rodent,QUEENS,NYC 311,Closed,1,2023-01-08,-2.0,30.5,0.0,6.7,14.25,0
INC500131,2023-12-31 11:44:00,2024-01-10 11:44:00,Sewer,QUEENS,NYPD,Closed,10,2023-12-31,11.5,6.0,1.55,17.1,8.75,1
INC500132,2023-10-29 10:43:00,2023-10-30 10:43:00,Illegal Parking,BRONX,NYPD,Open,1,2023-10-29,4.2,30.0,0.0,6.4,17.1,0
INC500133,2023-03-27 19:52:00,2023-03-28 19:52:00,Illegal Parking,QUEENS,DEP,Pending,1,2023-03-27,8.8,6.1,0.06,2.8,7.45,0
INC500134,2023-02-14 21:30:00,2023-02-14 21:30:00,Noise - Residential,MANHATTAN,NYPD,Closed,0,2023-02-14,10.7,3.5,0.36,9.8,7.1,1
INC500135,2023-06-14 07:54:00,2023-06-15 07:54:00,Street Condition,QUEENS,DEP,Closed,1,2023-06-14,14.1,14.4,0.88,6.6,14.25,1
INC500136,2023-03-27 20:00:00,2023-04-06 20:00:00,Illegal Parking,QUEENS,DSNY,Closed,10,2023-03-27,8.8,6.1,0.06,2.8,7.45,0
INC500137,2023-03-28 22:37:00,2023-04-04 22:37:00,Water System,BROOKLYN,DOT,Closed,7,2023-03-28,15.7,16.5,0.0,3.9,16.1,0
INC500138,2023-06-06 11:30:00,2023-06-06 11:30:00,Noise - Residential,MANHATTAN,DEP,Closed,0,2023-06-06,-5.7,30.2,0.02,9.0,12.25,0
INC500139,2023-05-07 10:59:00,2023-05-08 10:59:00,Illegal Parking,BRONX,NYC 311,Closed,1,2023-05-07,3.9,17.2,0.94,5.7,10.549999999999999,1
INC500140,2023-02-12 17:11:00,2023-02-12 17:11:00,Rodent,STATEN ISLAND,DSNY,Closed,0,2023-02-12,-4.8,13.9,0.0,15.0,4.550000000000001,0
INC500141,2023-07-04 04:39:00,2023-07-11 04:39:00,Street Condition,QUEENS,DSNY,Closed,7,2023-07-04,2.0,9.9,0.0,11.5,5.95,0
INC500142,2023-08-21 08:26:00,2023-09-04 08:26:00,Street Condition,STATEN ISLAND,DOT,Closed,14,2023-08-21,-4.4,19.6,0.0,1.2,7.6000000000000005,0
INC500143,2023-09-23 01:45:00,2023-09-24 01:45:00,Blocked Driveway,BRONX,DOB,Closed,1,2023-09-23,5.0,14.2,0.23,0.9,9.6,1
INC500144,2023-02-21 17:45:00,2023-02-26 17:45:00,Noise - Residential,BROOKLYN,NYPD,Pending,5,2023-02-21,11.3,17.1,0.0,14.8,14.200000000000001,0
INC500145,2023-01-08 02:05:00,2023-01-08 02:05:00,Illegal Parking,QUEENS,NYC 311,Closed,0,2023-01-08,-2.0,30.5,0.0,6.7,14.25,0
INC500146,2023-01-10 23:55:00,2023-01-20 23:55:00,Street Condition,MANHATTAN,NYPD,Open,10,2023-01-10,7.0,21.1,0.15,2.2,14.05,0
INC500147,2023-08-16 12:38:00,2023-08-16 12:38:00,Noise - Residential,BROOKLYN,DSNY,Closed,0,2023-08-16,10.9,21.4,0.83,11.9,16.15,1
INC500148,2023-02-09 11:11:00,2023-02-14 11:11:00,Water System,BRONX,NYC 311,Closed,5,2023-02-09,17.0,13.4,0.0,13.1,15.2,0
INC500149,2023-12-10 06:02:00,2023-12-12 06:02:00,Illegal Parking,BROOKLYN,DEP,Closed,2,2023-12-10,3.4,19.4,1.17,15.5,11.399999999999999,1
INC500150,2023-02-26 08:55:00,2023-03-01 08:55:00,Street Condition,QUEENS,DOT,Closed,3,2023-02-26,-0.2,28.9,0.0,8.1,14.35,0
INC500151,2023-03-03 05:12:00,2023-03-03 05:12:00,Water System,QUEENS,DEP,Open,0,2023-03-03,-3.5,24.7,0.0,5.9,10.6,0
INC500152,2023-02-11 07:13:00,2023-02-18 07:13:00,Street Condition,BRONX,DOB,Closed,7,2023-02-11,1.5,26.1,0.0,2.8,13.8,0
INC500153,2023-08-14 21:38:00,2023-08-16 21:38:00,Illegal Parking,STATEN ISLAND,NYPD,Closed,2,2023-08-14,12.9,9.2,0.01,2.0,11.05,0
INC500154,2023-08-14 04:35:00,2023-08-21 04:35:00,Derelict Vehicle,STATEN ISLAND,DSNY,Closed,7,2023-08-14,12.9,9.2,0.01,2.0,11.05,0
INC500155,2023-09-20 19:55:00,2023-09-20 19:55:00,Noise - Residential,BROOKLYN,DOB,Open,0,2023-09-20,-3.3,24.5,0.0,1.9,10.6,0
INC500156,2023-03-29 19:15:00,2023-04-08 19:15:00,Rodent,MANHATTAN,DSNY,Closed,10,2023-03-29,-2.8,1.6,0.2,13.5,-0.5999999999999999,0
INC500157,2023-01-09 09:24:00,2023-01-09 09:24:00,Blocked Driveway,BRONX,NYC 311,Pending,0,2023-01-09,16.3,7.9,0.03,13.3,12.100000000000001,0
INC500158,2023-11-04 06:48:00,2023-11-06 06:48:00,Illegal Parking,MANHATTAN,DOT,Closed,2,2023-11-04,12.7,21.1,1.89,4.0,16.9,1
INC500159,2023-06-28 18:54:00,2023-06-30 18:54:00,Noise - Residential,QUEENS,DOT,Closed,2,2023-06-28,3.5,18.3,2.77,9.8,10.9,1
INC500160,2023-12-09 08:17:00,2023-12-10 08:17:00,Street Light Condition,BROOKLYN,DSNY,Closed,1,2023-12-09,11.3,14.0,0.09,11.5,12.65,0
