unique_key,created_date,closed_date,complaint_type,borough,agency,status,time_to_close_days,date
INC500052,2023-08-11 04:30:00,2023-08-21 04:30:00,Noise - Residential,BRONX,DOT,Closed,10,2023-08-11
INC500053,2023-09-06 06:45:00,2023-09-16 06:45:00,Blocked Driveway,STATEN ISLAND,DOT,Closed,10,2023-09-06
INC500054,2023-09-01 23:57:00,2023-09-02 23:57:00,Street Condition,BROOKLYN,DOB,Closed,1,2023-09-01
INC500055,2023-12-11 16:58:00,2023-12-21 16:58:00,Rodent,STATEN ISLAND,DEP,Closed,10,2023-12-11
INC500056,2023-12-18 22:26:00,2023-12-20 22:26:00,Rodent,BROOKLYN,NYPD,Closed,2,2023-12-18
INC500057,2023-06-21 15:12:00,2023-06-21 15:12:00,Water System,STATEN ISLAND,DSNY,Pending,0,2023-06-21
INC500058,2023-06-11 06:59:00,2023-06-11 06:59:00,Illegal Parking,MANHATTAN,DOB,Closed,0,2023-06-11
INC500059,2023-01-06 18:33:00,2023-01-07 18:33:00,Sewer,BRONX,NYPD,Closed,1,2023-01-06
INC500060,2023-03-14 22:19:00,2023-03-17 22:19:00,Noise - Residential,QUEENS,NYC 311,Closed,3,2023-03-14
INC500061,2023-04-29 04:38:00,2023-04-29 04:38:00,Street Condition,BRONX,NYPD,Closed,0,2023-04-29
INC500062,2023-05-06 17:09:00,2023-05-13 17:09:00,Noise - Residential,QUEENS,DOT,Closed,7,2023-05-06
INC500063,2023-11-14 08:48:00,2023-11-24 08:48:00,Water System,BRONX,DOB,Closed,10,2023-11-14
INC500064,2023-02-11 22:54:00,2023-02-25 22:54:00,Blocked Driveway,QUEENS,DSNY,Closed,14,2023-02-11
INC500065,2023-11-27 08:20:00,2023-12-02 08:20:00,Street Condition,STATEN ISLAND,DOT,Closed,5,2023-11-27
INC500066,2023-01-18 07:17:00,2023-01-19 07:17:00,Noise - Residential,MANHATTAN,DEP,Open,1,2023-01-18
INC500067,2023-05-05 06:28:00,2023-05-10 06:28:00,Street Light Condition,STATEN ISLAND,NYPD,Closed,5,2023-05-05
INC500068,2023-07-16 03:47:00,2023-07-16 03:47:00,Street Light Condition,MANHATTAN,DOB,Pending,0,2023-07-16
INC500069,2023-08-07 10:32:00,2023-08-21 10:32:00,Rodent,QUEENS,NYC 311,Closed,14,2023-08-07
INC500070,2023-07-23 06:04:00,2023-07-26 06:04:00,Illegal Parking,BRONX,NYPD,Open,3,2023-07-23
INC500071,2023-02-13 22:01:00,2023-02-13 22:01:00,Noise - Residential,STATEN ISLAND,DSNY,Closed,0,2023-02-13
INC500072,2023-08-05 21:42:00,2023-08-08 21:42:00,Noise - Residential,BROOKLYN,NYPD,Closed,3,2023-08-05
INC500073,2023-04-15 21:40:00,2023-04-29 21:40:00,Noise - Residential,BROOKLYN,NYPD,Closed,14,2023-04-15
INC500074,2023-03-11 22:18:00,2023-03-25 22:18:00,Sewer,BROOKLYN,DOT,Closed,14,2023-03-11
INC500075,2023-07-17 20:06:00,2023-07-17 20:06:00,Heat,QUEENS,DOB,Closed,0,2023-07-17
INC500076,2023-05-21 23:07:00,2023-05-21 23:07:00,Rodent,BROOKLYN,DSNY,Closed,0,2023-05-21
INC500077,2023-03-07 09:38:00,2023-03-09 09:38:00,Street Condition,QUEENS,DEP,Open,2,2023-03-07
INC500078,2023-08-18 08:32:00,2023-08-19 08:32:00,Noise - Residential,BRONX,DOT,Closed,1,2023-08-18
INC500079,2023-09-19 04:51:00,2023-09-21 04:51:00,Rodent,BRONX,NYC 311,Closed,2,2023-09-19
INC500080,2023-10-12 13:50:00,2023-10-12 13:50:00,Noise - Residential,BROOKLYN,DOB,Open,0,2023-10-12
INC500081,2023-10-25 02:00:00,2023-10-27 02:00:00,Blocked Driveway,QUEENS,NYC 311,Closed,2,2023-10-25
INC500082,2023-02-15 07:19:00,2023-02-15 07:19:00,Noise - Residential,BROOKLYN,NYPD,Closed,0,2023-02-15
INC500083,2023-10-12 21:41:00,2023-10-12 21:41:00,Rodent,BROOKLYN,DOT,Closed,0,2023-10-12
INC500084,2023-07-27 10:32:00,2023-07-27 10:32:00,Water System,BRONX,DEP,Closed,0,2023-07-27
INC500085,2023-06-28 06:22:00,2023-06-28 06:22:00,Sewer,STATEN ISLAND,DEP,Closed,0,2023-06-28
INC500086,2023-04-17 20:33:00,2023-04-20 20:33:00,Sewer,BROOKLYN,DEP,Pending,3,2023-04-17
INC500087,2023-10-13 05:46:00,2023-10-15 05:46:00,Street Condition,BRONX,NYC 311,Closed,2,2023-10-13
INC500088,2023-10-31 11:09:00,2023-10-31 11:09:00,Noise - Residential,STATEN ISLAND,DOB,Closed,0,2023-10-31
INC500089,2023-05-30 11:11:00,2023-06-02 11:11:00,Sewer,STATEN ISLAND,NYC 311,Open,3,2023-05-30
INC500090,2023-06-01 01:42:00,2023-06-11 01:42:00,Blocked Driveway,STATEN ISLAND,NYC 311,Closed,10,2023-06-01
INC500091,2023-11-18 02:30:00,2023-11-20 02:30:00,Street Condition,BROOKLYN,NYPD,Closed,2,2023-11-18
INC500092,2023-11-25 12:16:00,2023-11-25 12:16:00,Illegal Parking,STATEN ISLAND,DOT,Open,0,2023-11-25
INC500093,2023-05-15 21:06:00,2023-05-25 21:06:00,Blocked Driveway,MANHATTAN,DOT,Closed,10,2023-05-15
INC500094,2023-03-05 19:42:00,2023-03-19 19:42:00,Derelict Vehicle,STATEN ISLAND,DOT,Closed,14,2023-03-05
INC500095,2023-12-08 04:18:00,2023-12-22 04:18:00,Water System,BROOKLYN,NYC 311,Open,14,2023-12-08
INC500096,2023-09-18 17:16:00,2023-09-18 17:16:00,Blocked Driveway,STATEN ISLAND,NYPD,Closed,0,2023-09-18
INC500097,2023-08-11 23:24:00,2023-08-11 23:24:00,Derelict Vehicle,BRONX,DSNY,Closed,0,2023-08-11
INC500098,2023-09-02 20:04:00,2023-09-04 20:04:00,Illegal Parking,BROOKLYN,NYC 311,Open,2,2023-09-02
INC500099,2023-08-21 02:59:00,2023-08-22 02:59:00,Heat,BROOKLYN,NYPD,Pending,1,2023-08-21
INC500100,2023-01-21 02:00:00,2023-01-28 02:00:00,Sewer,STATEN ISLAND,DSNY,Pending,7,2023-01-21
INC500101,2023-11-26 16:48:00,2023-11-28 16:48:00,Water System,BROOKLYN,DOB,Closed,2,2023-11-26
INC500102,2023-11-07 07:09:00,2023-11-21 07:09:00,Blocked Driveway,MANHATTAN,DEP,Open,14,2023-11-07
INC500103,2023-05-28 19:01:00,2023-06-04 19:01:00,Sewer,QUEENS,NYC 311,Closed,7,2023-05-28
INC500104,2023-12-18 07:36:00,2023-12-20 07:36:00,Blocked Driveway,MANHATTAN,DOT,Open,2,2023-12-18
INC500105,2023-10-21 11:44:00,2023-10-31 11:44:00,Sewer,BRONX,NYPD,Closed,10,2023-10-21
INC500106,2023-07-10 17:53:00,2023-07-11 17:53:00,Blocked Driveway,STATEN ISLAND,DOT,Closed,1,2023-07-10
INC500107,2023-05-11 15:53:00,2023-05-11 15:53:00,Sewer,STATEN ISLAND,NYPD,Open,0,2023-05-11
INC500108,2023-06-05 15:00:00,2023-06-08 15:00:00,Street Condition,STATEN ISLAND,NYPD,Closed,3,2023-06-05
INC500109,2023-03-30 21:56:00,2023-04-13 21:56:00,Street Condition,BROOKLYN,DOT,Closed,14,2023-03-30
INC500110,2023-05-11 10:25:00,2023-05-12 10:25:00,Noise - Residential,BRONX,DOT,Closed,1,2023-05-11
INC500111,2023-03-21 17:29:00,2023-03-23 17:29:00,Sewer,MANHATTAN,NYPD,Closed,2,2023-03-21
INC500112,2023-06-17 18:09:00,2023-06-22 18:09:00,Noise - Residential,BROOKLYN,DOB,Closed,5,2023-06-17
INC500113,2023-03-20 14:13:00,2023-03-22 14:13:00,Street Condition,STATEN ISLAND,NYPD,Closed,2,2023-03-20
INC500114,2023-09-30 10:21:00,2023-10-14 10:21:00,Sewer,QUEENS,DOB,Closed,14,2023-09-30
INC500115,2023-07-17 05:15:00,2023-07-22 05:15:00,Heat,BROOKLYN,NYC 311,Closed,5,2023-07-17
INC500116,2023-01-31 23:03:00,2023-01-31 23:03:00,Street Light Condition,BROOKLYN,NYPD,Closed,0,2023-01-31
INC500117,2023-06-23 16:00:00,2023-07-07 16:00:00,Water System,QUEENS,DSNY,Pending,14,2023-06-23
INC500118,2023-11-26 13:20:00,2023-11-27 13:20:00,Derelict Vehicle,STATEN ISLAND,DOT,Closed,1,2023-11-26
INC500119,2023-10-19 11:44:00,2023-10-26 11:44:00,Heat,QUEENS,DSNY,Pending,7,2023-10-19
INC500120,2023-08-21 21:33:00,2023-08-23 21:33:00,Rodent,BROOKLYN,DEP,Closed,2,2023-08-21
INC500121,2023-02-20 15:02:00,2023-03-06 15:02:00,Heat,QUEENS,NYC 311,Closed,14,2023-02-20
INC500122,2023-09-08 00:24:00,2023-09-10 00:24:00,Heat,BRONX,DOB,Open,2,2023-09-08
INC500123,2023-03-06 03:59:00,2023-03-16 03:59:00,Blocked Driveway,BROOKLYN,NYC 311,Closed,10,2023-03-06
INC500124,2023-03-06 18:47:00,2023-03-06 18:47:00,Heat,MANHATTAN,NYPD,Open,0,2023-03-06
INC500125,2023-06-27 22:03:00,2023-07-11 22:03:00,Street Condition,MANHATTAN,DOT,Closed,14,2023-06-27
INC500126,2023-04-16 06:33:00,2023-04-23 06:33:00,Noise - Residential,STATEN ISLAND,NYPD,Closed,7,2023-04-16
INC500127,2023-06-27 10:15:00,2023-06-28 10:15:00,Water System,BRONX,DEP,Closed,1,2023-06-27
INC500128,2023-04-20 12:58:00,2023-04-27 12:58:00,Street Condition,MANHATTAN,NYPD,Open,7,2023-04-20
INC500129,2023-12-29 21:30:00,2023-12-30 21:30:00,Illegal Parking,BROOKLYN,DOB,Closed,1,2023-12-29
INC500130,2023-01-08 15:01:00,2023-01-09 15:01:00,Rodent,QUEENS,NYC 311,Closed,1,2023-01-08
INC500131,2023-12-31 11:44:00,2024-01-10 11:44:00,Sewer,QUEENS,NYPD,Closed,10,2023-12-31
INC500132,2023-10-29 10:43:00,2023-10-30 10:43:00,Illegal Parking,BRONX,NYPD,Open,1,2023-10-29
INC500133,2023-03-27 19:52:00,2023-03-28 19:52:00,Illegal Parking,QUEENS,DEP,Pending,1,2023-03-27
INC500134,2023-02-14 21:30:00,2023-02-14 21:30:00,Noise - Residential,MANHATTAN,NYPD,Closed,0,2023-02-14
INC500135,2023-06-14 07:54:00,2023-06-15 07:54:00,Street Condition,QUEENS,DEP,Closed,1,2023-06-14
INC500136,2023-03-27 20:00:00,2023-04-06 20:00:00,Illegal Parking,QUEENS,DSNY,Closed,10,2023-03-27
INC500137,2023-03-28 22:37:00,2023-04-04 22:37:00,Water System,BROOKLYN,DOT,Closed,7,2023-03-28
INC500138,2023-06-06 11:30:00,2023-06-06 11:30:00,Noise - Residential,MANHATTAN,DEP,Closed,0,2023-06-06
INC500139,2023-05-07 10:59:00,2023-05-08 10:59:00,Illegal Parking,BRONX,NYC 311,Closed,1,2023-05-07
INC500140,2023-02-12 17:11:00,2023-02-12 17:11:00,Rodent,STATEN ISLAND,DSNY,Closed,0,2023-02-12
INC500141,2023-07-04 04:39:00,2023-07-11 04:39:00,Street Condition,QUEENS,DSNY,Closed,7,2023-07-04
INC500142,2023-08-21 08:26:00,2023-09-04 08:26:00,Street Condition,STATEN ISLAND,DOT,Closed,14,2023-08-21
INC500143,2023-09-23 01:45:00,2023-09-24 01:45:00,Blocked Driveway,BRONX,DOB,Closed,1,2023-09-23
INC500144,2023-02-21 17:45:00,2023-02-26 17:45:00,Noise - Residential,BROOKLYN,NYPD,Pending,5,2023-02-21
INC500145,2023-01-08 02:05:00,2023-01-08 02:05:00,Illegal Parking,QUEENS,NYC 311,Closed,0,2023-01-08
INC500146,2023-01-10 23:55:00,2023-01-20 23:55:00,Street Condition,MANHATTAN,NYPD,Open,10,2023-01-10
INC500147,2023-08-16 12:38:00,2023-08-16 12:38:00,Noise - Residential,BROOKLYN,DSNY,Closed,0,2023-08-16
INC500148,2023-02-09 11:11:00,2023-02-14 11:11:00,Water System,BRONX,NYC 311,Closed,5,2023-02-09
INC500149,2023-12-10 06:02:00,2023-12-12 06:02:00,Illegal Parking,BROOKLYN,DEP,Closed,2,2023-12-10
INC500150,2023-02-26 08:55:00,2023-03-01 08:55:00,Street Condition,QUEENS,DOT,Closed,3,2023-02-26
INC500151,2023-03-03 05:12:00,2023-03-03 05:12:00,Water System,QUEENS,DEP,Open,0,2023-03-03
INC500152,2023-02-11 07:13:00,2023-02-18 07:13:00,Street Condition,BRONX,DOB,Closed,7,2023-02-11
INC500153,2023-08-14 21:38:00,2023-08-16 21:38:00,Illegal Parking,STATEN ISLAND,NYPD,Closed,2,2023-08-14
INC500154,2023-08-14 04:35:00,2023-08-21 04:35:00,Derelict Vehicle,STATEN ISLAND,DSNY,Closed,7,2023-08-14
INC500155,2023-09-20 19:55:00,2023-09-20 19:55:00,Noise - Residential,BROOKLYN,DOB,Open,0,2023-09-20
INC500156,2023-03-29 19:15:00,2023-04-08 19:15:00,Rodent,MANHATTAN,DSNY,Closed,10,2023-03-29
INC500157,2023-01-09 09:24:00,2023-01-09 09:24:00,Blocked Driveway,BRONX,NYC 311,Pending,0,2023-01-09
INC500158,2023-11-04 06:48:00,2023-11-06 06:48:00,Illegal Parking,MANHATTAN,DOT,Closed,2,2023-11-04
INC500159,2023-06-28 18:54:00,2023-06-30 18:54:00,Noise - Residential,QUEENS,DOT,Closed,2,2023-06-28
INC500160,2023-12-09 08:17:00,2023-12-10 08:17:00,Street Light Condition,BROOKLYN,DSNY,Closed,1,2023-12-09
INC500161,2023-03-06 15:17:00,2023-03-09 15:17:00,Street Light Condition,STATEN ISLAND,DOT,Open,3,2023-03-06
INC500162,2023-11-15 09:48:00,2023-11-15 09:48:00,Street Light Condition,BROOKLYN,NYPD,Closed,0,2023-11-15
INC500163,2023-07-13 04:39:00,2023-07-16 04:39:00,Rodent,MANHATTAN,DEP,Closed,3,2023-07-13
INC500164,2023-11-07 05:34:00,2023-11-08 05:34:00,Noise - Residential,STATEN ISLAND,DEP,Closed,1,2023-11-07
INC500165,2023-09-04 03:38:00,2023-09-14 03:38:00,Illegal Parking,MANHATTAN,DSNY,Closed,10,2023-09-04
INC500166,2023-09-24 23:31:00,2023-10-08 23:31:00,Rodent,STATEN ISLAND,DEP,Closed,14,2023-09-24
INC500167,2023-07-08 07:22:00,2023-07-09 07:22:00,Sewer,STATEN ISLAND,NYC 311,Closed,1,2023-07-08
INC500168,2023-05-05 22:18:00,2023-05-15 22:18:00,Illegal Parking,BROOKLYN,DSNY,Closed,10,2023-05-05
INC500169,2023-06-08 06:24:00,2023-06-15 06:24:00,Street Light Condition,MANHATTAN,DOB,Closed,7,2023-06-08
INC500170,2023-04-01 06:37:00,2023-04-01 06:37:00,Blocked Driveway,MANHATTAN,DOB,Closed,0,2023-04-01
INC500171,2023-03-17 06:36:00,2023-03-19 06:36:00,Illegal Parking,STATEN ISLAND,NYC 311,Closed,2,2023-03-17
INC500172,2023-09-07 04:14:00,2023-09-14 04:14:00,Heat,BRONX,DOT,Closed,7,2023-09-07
INC500173,2023-05-30 15:12:00,2023-06-09 15:12:00,Street Condition,STATEN ISLAND,DSNY,Closed,10,2023-05-30
INC500174,2023-11-06 10:46:00,2023-11-06 10:46:00,Noise - Residential,STATEN ISLAND,DSNY,Closed,0,2023-11-06
INC500175,2023-09-04 08:56:00,2023-09-05 08:56:00,Blocked Driveway,QUEENS,DEP,Closed,1,2023-09-04
INC500176,2023-04-20 15:33:00,2023-04-25 15:33:00,Noise - Residential,MANHATTAN,DSNY,Closed,5,2023-04-20
INC500177,2023-01-30 21:13:00,2023-02-09 21:13:00,Blocked Driveway,STATEN ISLAND,DSNY,Open,10,2023-01-30
INC500178,2023-01-10 06:14:00,2023-01-10 06:14:00,Rodent,QUEENS,DOT,Closed,0,2023-01-10
INC500179,2023-06-10 12:41:00,2023-06-17 12:41:00,Street Condition,BROOKLYN,NYC 311,Closed,7,2023-06-10
INC500180,2023-10-21 20:30:00,2023-10-21 20:30:00,Noise - Residential,STATEN ISLAND,DOB,Closed,0,2023-10-21
INC500181,2023-01-06 10:34:00,2023-01-07 10:34:00,Illegal Parking,BROOKLYN,DSNY,Closed,1,2023-01-06
INC500182,2023-08-24 11:39:00,2023-08-31 11:39:00,Heat,BRONX,DOT,Closed,7,2023-08-24
INC500183,2023-02-07 18:32:00,2023-02-07 18:32:00,Heat,MANHATTAN,DEP,Open,0,2023-02-07
INC500184,2023-08-26 01:54:00,2023-09-02 01:54:00,Noise - Residential,BRONX,NYPD,Closed,7,2023-08-26
INC500185,2023-06-18 01:12:00,2023-06-23 01:12:00,Rodent,QUEENS,DEP,Closed,5,2023-06-18
INC500186,2023-01-18 06:38:00,2023-01-28 06:38:00,Street Light Condition,QUEENS,DOT,Closed,10,2023-01-18
INC500187,2023-06-19 03:30:00,2023-06-21 03:30:00,Street Light Condition,QUEENS,DOB,Closed,2,2023-06-19
INC500188,2023-03-16 01:48:00,2023-03-18 01:48:00,Blocked Driveway,STATEN ISLAND,NYPD,Open,2,2023-03-16
INC500189,2023-11-24 04:01:00,2023-11-25 04:01:00,Blocked Driveway,BROOKLYN,DSNY,Open,1,2023-11-24
INC500190,2023-10-18 09:06:00,2023-10-20 09:06:00,Heat,QUEENS,NYC 311,Pending,2,2023-10-18
INC500191,2023-04-27 20:51:00,2023-04-27 20:51:00,Noise - Residential,BRONX,DOT,Open,0,2023-04-27
INC500192,2023-09-20 00:21:00,2023-09-22 00:21:00,Street Condition,QUEENS,DSNY,Open,2,2023-09-20
INC500193,2023-04-28 23:04:00,2023-04-29 23:04:00,Sewer,BRONX,DOT,Closed,1,2023-04-28
INC500194,2023-01-20 17:22:00,2023-01-22 17:22:00,Illegal Parking,MANHATTAN,NYPD,Pending,2,2023-01-20
INC500195,2023-02-09 07:42:00,2023-02-09 07:42:00,Noise - Residential,BROOKLYN,DSNY,Closed,0,2023-02-09
INC500196,2023-02-24 09:32:00,2023-02-24 09:32:00,Street Condition,STATEN ISLAND,DOB,Closed,0,2023-02-24
INC500197,2023-07-04 21:06:00,2023-07-05 21:06:00,Street Light Condition,BROOKLYN,DSNY,Open,1,2023-07-04
INC500198,2023-04-20 18:48:00,2023-04-22 18:48:00,Noise - Residential,MANHATTAN,DEP,Closed,2,2023-04-20
INC500199,2023-05-18 15:55:00,2023-05-21 15:55:00,Rodent,STATEN ISLAND,NYC 311,Closed,3,2023-05-18
INC500200,2023-04-28 11:32:00,2023-04-30 11:32:00,Illegal Parking,MANHATTAN,DOB,Closed,2,2023-04-28
INC500201,2023-12-27 14:11:00,2023-12-27 14:11:00,Rodent,QUEENS,DSNY,Closed,0,2023-12-27
INC500202,2023-01-01 18:03:00,2023-01-02 18:03:00,Illegal Parking,MANHATTAN,NYPD,Closed,1,2023-01-01
INC500203,2023-03-08 18:03:00,2023-03-08 18:03:00,Street Condition,MANHATTAN,DEP,Closed,0,2023-03-08
INC500204,2023-04-03 07:45:00,2023-04-05 07:45:00,Noise - Residential,BROOKLYN,NYC 311,Closed,2,2023-04-03
INC500205,2023-06-16 00:27:00,2023-06-18 00:27:00,Sewer,MANHATTAN,DOT,Closed,2,2023-06-16
INC500206,2023-05-07 23:53:00,2023-05-10 23:53:00,Heat,QUEENS,NYC 311,Closed,3,2023-05-07
INC500207,2023-01-28 00:47:00,2023-01-28 00:47:00,Rodent,BRONX,DOB,Closed,0,2023-01-28
INC500208,2023-04-04 07:34:00,2023-04-07 07:34:00,Noise - Residential,QUEENS,DOT,Closed,3,2023-04-04
INC500209,2023-08-15 18:26:00,2023-08-15 18:26:00,Blocked Driveway,BRONX,DSNY,Closed,0,2023-08-15
INC500210,2023-05-14 11:31:00,2023-05-24 11:31:00,Street Condition,QUEENS,DOT,Closed,10,2023-05-14
INC500211,2023-12-24 20:35:00,2023-12-24 20:35:00,Illegal Parking,QUEENS,DEP,Open,0,2023-12-24
INC500212,2023-12-06 08:28:00,2023-12-08 08:28:00,Illegal Parking,QUEENS,DOT,Closed,2,2023-12-06
INC500213,2023-03-31 09:06:00,2023-04-01 09:06:00,Illegal Parking,BRONX,DEP,Closed,1,2023-03-31
INC500214,2023-08-18 03:25:00,2023-08-18 03:25:00,Noise - Residential,BROOKLYN,DSNY,Closed,0,2023-08-18
INC500215,2023-01-28 00:35:00,2023-01-30 00:35:00,Rodent,BROOKLYN,DOT,Open,2,2023-01-28
INC500216,2023-02-24 01:20:00,2023-02-26 01:20:00,Illegal Parking,MANHATTAN,DOB,Closed,2,2023-02-24
INC500217,2023-12-26 10:37:00,2024-01-02 10:37:00,Noise - Residential,BRONX,DOT,Closed,7,2023-12-26
INC500218,2023-10-11 06:42:00,2023-10-14 06:42:00,Noise - Residential,BROOKLYN,DEP,Closed,3,2023-10-11
INC500219,2023-12-31 11:09:00,2024-01-01 11:09:00,Street Condition,BROOKLYN,NYC 311,Open,1,2023-12-31
INC500220,2023-06-23 08:07:00,2023-06-23 08:07:00,Rodent,BRONX,DSNY,Closed,0,2023-06-23
INC500221,2023-06-15 09:24:00,2023-06-16 09:24:00,Rodent,BROOKLYN,DOB,Closed,1,2023-06-15
