unique_key,created_date,closed_date,complaint_type,borough,agency,status
INC500085,2023-06-28 06:22:00,2023-06-28 06:22:00,Sewer,STATEN ISLAND,DEP,Closed
INC500086,2023-04-17 20:33:00,2023-04-20 20:33:00,Sewer,BROOKLYN,DEP,Pending
INC500087,2023-10-13 05:46:00,2023-10-15 05:46:00,Street Condition,BRONX,NYC 311,Closed
INC500088,2023-10-31 11:09:00,2023-10-31 11:09:00,Noise - Residential,STATEN ISLAND,DOB,Closed
INC500089,2023-05-30 11:11:00,2023-06-02 11:11:00,Sewer,STATEN ISLAND,NYC 311,Open
INC500090,2023-06-01 01:42:00,2023-06-11 01:42:00,Blocked Driveway,STATEN ISLAND,NYC 311,Closed
INC500091,2023-11-18 02:30:00,2023-11-20 02:30:00,Street Condition,BROOKLYN,NYPD,Closed
INC500092,2023-11-25 12:16:00,2023-11-25 12:16:00,Illegal Parking,STATEN ISLAND,DOT,Open
INC500093,2023-05-15 21:06:00,2023-05-25 21:06:00,Blocked Driveway,MANHATTAN,DOT,Closed
INC500094,2023-03-05 19:42:00,2023-03-19 19:42:00,Derelict Vehicle,STATEN ISLAND,DOT,Closed
INC500095,2023-12-08 04:18:00,2023-12-22 04:18:00,Water System,BROOKLYN,NYC 311,Open
INC500096,2023-09-18 17:16:00,2023-09-18 17:16:00,Blocked Driveway,STATEN ISLAND,NYPD,Closed
INC500097,2023-08-11 23:24:00,2023-08-11 23:24:00,Derelict Vehicle,BRONX,DSNY,Closed
INC500098,2023-09-02 20:04:00,2023-09-04 20:04:00,Illegal Parking,BROOKLYN,NYC 311,Open
INC500099,2023-08-21 02:59:00,2023-08-22 02:59:00,Heat,BROOKLYN,NYPD,Pending
INC500100,2023-01-21 02:00:00,2023-01-28 02:00:00,Sewer,STATEN ISLAND,DSNY,Pending
INC500101,2023-11-26 16:48:00,2023-11-28 16:48:00,Water System,BROOKLYN,DOB,Closed
INC500102,2023-11-07 07:09:00,2023-11-21 07:09:00,Blocked Driveway,MANHATTAN,DEP,Open
INC500103,2023-05-28 19:01:00,2023-06-04 19:01:00,Sewer,QUEENS,NYC 311,Closed
INC500104,2023-12-18 07:36:00,2023-12-20 07:36:00,Blocked Driveway,MANHATTAN,DOT,Open
INC500105,2023-10-21 11:44:00,2023-10-31 11:44:00,Sewer,BRONX,NYPD,Closed
INC500106,2023-07-10 17:53:00,2023-07-11 17:53:00,Blocked Driveway,STATEN ISLAND,DOT,Closed
INC500107,2023-05-11 15:53:00,2023-05-11 15:53:00,Sewer,STATEN ISLAND,NYPD,Open
INC500108,2023-06-05 15:00:00,2023-06-08 15:00:00,Street Condition,STATEN ISLAND,NYPD,Closed
INC500109,2023-03-30 21:56:00,2023-04-13 21:56:00,Street Condition,BROOKLYN,DOT,Closed
INC500110,2023-05-11 10:25:00,2023-05-12 10:25:00,Noise - Residential,BRONX,DOT,Closed
INC500111,2023-03-21 17:29:00,2023-03-23 17:29:00,Sewer,MANHATTAN,NYPD,Closed
INC500112,2023-06-17 18:09:00,2023-06-22 18:09:00,Noise - Residential,BROOKLYN,DOB,Closed
INC500113,2023-03-20 14:13:00,2023-03-22 14:13:00,Street Condition,STATEN ISLAND,NYPD,Closed
INC500114,2023-09-30 10:21:00,2023-10-14 10:21:00,Sewer,QUEENS,DOB,Closed
INC500115,2023-07-17 05:15:00,2023-07-22 05:15:00,Heat,BROOKLYN,NYC 311,Closed
INC500116,2023-01-31 23:03:00,2023-01-31 23:03:00,Street Light Condition,BROOKLYN,NYPD,Closed
INC500117,2023-06-23 16:00:00,2023-07-07 16:00:00,Water System,QUEENS,DSNY,Pending
INC500118,2023-11-26 13:20:00,2023-11-27 13:20:00,Derelict Vehicle,STATEN ISLAND,DOT,Closed
INC500119,2023-10-19 11:44:00,2023-10-26 11:44:00,Heat,QUEENS,DSNY,Pending
INC500120,2023-08-21 21:33:00,2023-08-23 21:33:00,Rodent,BROOKLYN,DEP,Closed
INC500121,2023-02-20 15:02:00,2023-03-06 15:02:00,Heat,QUEENS,NYC 311,Closed
INC500122,2023-09-08 00:24:00,2023-09-10 00:24:00,Heat,BRONX,DOB,Open
INC500123,2023-03-06 03:59:00,2023-03-16 03:59:00,Blocked Driveway,BROOKLYN,NYC 311,Closed
INC500124,2023-03-06 18:47:00,2023-03-06 18:47:00,Heat,MANHATTAN,NYPD,Open
INC500125,2023-06-27 22:03:00,2023-07-11 22:03:00,Street Condition,MANHATTAN,DOT,Closed
INC500126,2023-04-16 06:33:00,2023-04-23 06:33:00,Noise - Residential,STATEN ISLAND,NYPD,Closed
INC500127,2023-06-27 10:15:00,2023-06-28 10:15:00,Water System,BRONX,DEP,Closed
INC500128,2023-04-20 12:58:00,2023-04-27 12:58:00,Street Condition,MANHATTAN,NYPD,Open
INC500129,2023-12-29 21:30:00,2023-12-30 21:30:00,Illegal Parking,BROOKLYN,DOB,Closed
INC500130,2023-01-08 15:01:00,2023-01-09 15:01:00,Rodent,QUEENS,NYC 311,Closed
INC500131,2023-12-31 11:44:00,2024-01-10 11:44:00,Sewer,QUEENS,NYPD,Closed
INC500132,2023-10-29 10:43:00,2023-10-30 10:43:00,Illegal Parking,BRONX,NYPD,Open
INC500133,2023-03-27 19:52:00,2023-03-28 19:52:00,Illegal Parking,QUEENS,DEP,Pending
INC500134,2023-02-14 21:30:00,2023-02-14 21:30:00,Noise - Residential,MANHATTAN,NYPD,Closed
INC500135,2023-06-14 07:54:00,2023-06-15 07:54:00,Street Condition,QUEENS,DEP,Closed
INC500136,2023-03-27 20:00:00,2023-04-06 20:00:00,Illegal Parking,QUEENS,DSNY,Closed
INC500137,2023-03-28 22:37:00,2023-04-04 22:37:00,Water System,BROOKLYN,DOT,Closed
INC500138,2023-06-06 11:30:00,2023-06-06 11:30:00,Noise - Residential,MANHATTAN,DEP,Closed
INC500139,2023-05-07 10:59:00,2023-05-08 10:59:00,Illegal Parking,BRONX,NYC 311,Closed
INC500140,2023-02-12 17:11:00,2023-02-12 17:11:00,Rodent,STATEN ISLAND,DSNY,Closed
INC500141,2023-07-04 04:39:00,2023-07-11 04:39:00,Street Condition,QUEENS,DSNY,Closed
INC500142,2023-08-21 08:26:00,2023-09-04 08:26:00,Street Condition,STATEN ISLAND,DOT,Closed
INC500143,2023-09-23 01:45:00,2023-09-24 01:45:00,Blocked Driveway,BRONX,DOB,Closed
INC500144,2023-02-21 17:45:00,2023-02-26 17:45:00,Noise - Residential,BROOKLYN,NYPD,Pending
INC500145,2023-01-08 02:05:00,2023-01-08 02:05:00,Illegal Parking,QUEENS,NYC 311,Closed
INC500146,2023-01-10 23:55:00,2023-01-20 23:55:00,Street Condition,MANHATTAN,NYPD,Open
INC500147,2023-08-16 12:38:00,2023-08-16 12:38:00,Noise - Residential,BROOKLYN,DSNY,Closed
INC500148,2023-02-09 11:11:00,2023-02-14 11:11:00,Water System,BRONX,NYC 311,Closed
INC500149,2023-12-10 06:02:00,2023-12-12 06:02:00,Illegal Parking,BROOKLYN,DEP,Closed
INC500150,2023-02-26 08:55:00,2023-03-01 08:55:00,Street Condition,QUEENS,DOT,Closed
INC500151,2023-03-03 05:12:00,2023-03-03 05:12:00,Water System,QUEENS,DEP,Open
INC500152,2023-02-11 07:13:00,2023-02-18 07:13:00,Street Condition,BRONX,DOB,Closed
INC500153,2023-08-14 21:38:00,2023-08-16 21:38:00,Illegal Parking,STATEN ISLAND,NYPD,Closed
INC500154,2023-08-14 04:35:00,2023-08-21 04:35:00,Derelict Vehicle,STATEN ISLAND,DSNY,Closed
INC500155,2023-09-20 19:55:00,2023-09-20 19:55:00,Noise - Residential,BROOKLYN,DOB,Open
INC500156,2023-03-29 19:15:00,2023-04-08 19:15:00,Rodent,MANHATTAN,DSNY,Closed
INC500157,2023-01-09 09:24:00,2023-01-09 09:24:00,Blocked Driveway,BRONX,NYC 311,Pending
INC500158,2023-11-04 06:48:00,2023-11-06 06:48:00,Illegal Parking,MANHATTAN,DOT,Closed
INC500159,2023-06-28 18:54:00,2023-06-30 18:54:00,Noise - Residential,QUEENS,DOT,Closed
INC500160,2023-12-09 08:17:00,2023-12-10 08:17:00,Street Light Condition,BROOKLYN,DSNY,Closed
INC500161,2023-03-06 15:17:00,2023-03-09 15:17:00,Street Light Condition,STATEN ISLAND,DOT,Open
INC500162,2023-11-15 09:48:00,2023-11-15 09:48:00,Street Light Condition,BROOKLYN,NYPD,Closed
INC500163,2023-07-13 04:39:00,2023-07-16 04:39:00,Rodent,MANHATTAN,DEP,Closed
INC500164,2023-11-07 05:34:00,2023-11-08 05:34:00,Noise - Residential,STATEN ISLAND,DEP,Closed
INC500165,2023-09-04 03:38:00,2023-09-14 03:38:00,Illegal Parking,MANHATTAN,DSNY,Closed
INC500166,2023-09-24 23:31:00,2023-10-08 23:31:00,Rodent,STATEN ISLAND,DEP,Closed
INC500167,2023-07-08 07:22:00,2023-07-09 07:22:00,Sewer,STATEN ISLAND,NYC 311,Closed
INC500168,2023-05-05 22:18:00,2023-05-15 22:18:00,Illegal Parking,BROOKLYN,DSNY,Closed
INC500169,2023-06-08 06:24:00,2023-06-15 06:24:00,Street Light Condition,MANHATTAN,DOB,Closed
INC500170,2023-04-01 06:37:00,2023-04-01 06:37:00,Blocked Driveway,MANHATTAN,DOB,Closed
INC500171,2023-03-17 06:36:00,2023-03-19 06:36:00,Illegal Parking,STATEN ISLAND,NYC 311,Closed
INC500172,2023-09-07 04:14:00,2023-09-14 04:14:00,Heat,BRONX,DOT,Closed
INC500173,2023-05-30 15:12:00,2023-06-09 15:12:00,Street Condition,STATEN ISLAND,DSNY,Closed
INC500174,2023-11-06 10:46:00,2023-11-06 10:46:00,Noise - Residential,STATEN ISLAND,DSNY,Closed
INC500175,2023-09-04 08:56:00,2023-09-05 08:56:00,Blocked Driveway,QUEENS,DEP,Closed
INC500176,2023-04-20 15:33:00,2023-04-25 15:33:00,Noise - Residential,MANHATTAN,DSNY,Closed
INC500177,2023-01-30 21:13:00,2023-02-09 21:13:00,Blocked Driveway,STATEN ISLAND,DSNY,Open
INC500178,2023-01-10 06:14:00,2023-01-10 06:14:00,Rodent,QUEENS,DOT,Closed
INC500179,2023-06-10 12:41:00,2023-06-17 12:41:00,Street Condition,BROOKLYN,NYC 311,Closed
INC500180,2023-10-21 20:30:00,2023-10-21 20:30:00,Noise - Residential,STATEN ISLAND,DOB,Closed
INC500181,2023-01-06 10:34:00,2023-01-07 10:34:00,Illegal Parking,BROOKLYN,DSNY,Closed
INC500182,2023-08-24 11:39:00,2023-08-31 11:39:00,Heat,BRONX,DOT,Closed
INC500183,2023-02-07 18:32:00,2023-02-07 18:32:00,Heat,MANHATTAN,DEP,Open
INC500184,2023-08-26 01:54:00,2023-09-02 01:54:00,Noise - Residential,BRONX,NYPD,Closed
INC500185,2023-06-18 01:12:00,2023-06-23 01:12:00,Rodent,QUEENS,DEP,Closed
INC500186,2023-01-18 06:38:00,2023-01-28 06:38:00,Street Light Condition,QUEENS,DOT,Closed
INC500187,2023-06-19 03:30:00,2023-06-21 03:30:00,Street Light Condition,QUEENS,DOB,Closed
INC500188,2023-03-16 01:48:00,2023-03-18 01:48:00,Blocked Driveway,STATEN ISLAND,NYPD,Open
INC500189,2023-11-24 04:01:00,2023-11-25 04:01:00,Blocked Driveway,BROOKLYN,DSNY,Open
INC500190,2023-10-18 09:06:00,2023-10-20 09:06:00,Heat,QUEENS,NYC 311,Pending
INC500191,2023-04-27 20:51:00,2023-04-27 20:51:00,Noise - Residential,BRONX,DOT,Open
INC500192,2023-09-20 00:21:00,2023-09-22 00:21:00,Street Condition,QUEENS,DSNY,Open
INC500193,2023-04-28 23:04:00,2023-04-29 23:04:00,Sewer,BRONX,DOT,Closed
INC500194,2023-01-20 17:22:00,2023-01-22 17:22:00,Illegal Parking,MANHATTAN,NYPD,Pending
INC500195,2023-02-09 07:42:00,2023-02-09 07:42:00,Noise - Residential,BROOKLYN,DSNY,Closed
INC500196,2023-02-24 09:32:00,2023-02-24 09:32:00,Street Condition,STATEN ISLAND,DOB,Closed
INC500197,2023-07-04 21:06:00,2023-07-05 21:06:00,Street Light Condition,BROOKLYN,DSNY,Open
INC500198,2023-04-20 18:48:00,2023-04-22 18:48:00,Noise - Residential,MANHATTAN,DEP,Closed
INC500199,2023-05-18 15:55:00,2023-05-21 15:55:00,Rodent,STATEN ISLAND,NYC 311,Closed
INC500200,2023-04-28 11:32:00,2023-04-30 11:32:00,Illegal Parking,MANHATTAN,DOB,Closed
INC500201,2023-12-27 14:11:00,2023-12-27 14:11:00,Rodent,QUEENS,DSNY,Closed
INC500202,2023-01-01 18:03:00,2023-01-02 18:03:00,Illegal Parking,MANHATTAN,NYPD,Closed
INC500203,2023-03-08 18:03:00,2023-03-08 18:03:00,Street Condition,MANHATTAN,DEP,Closed
INC500204,2023-04-03 07:45:00,2023-04-05 07:45:00,Noise - Residential,BROOKLYN,NYC 311,Closed
INC500205,2023-06-16 00:27:00,2023-06-18 00:27:00,Sewer,MANHATTAN,DOT,Closed
INC500206,2023-05-07 23:53:00,2023-05-10 23:53:00,Heat,QUEENS,NYC 311,Closed
INC500207,2023-01-28 00:47:00,2023-01-28 00:47:00,Rodent,BRONX,DOB,Closed
INC500208,2023-04-04 07:34:00,2023-04-07 07:34:00,Noise - Residential,QUEENS,DOT,Closed
INC500209,2023-08-15 18:26:00,2023-08-15 18:26:00,Blocked Driveway,BRONX,DSNY,Closed
INC500210,2023-05-14 11:31:00,2023-05-24 11:31:00,Street Condition,QUEENS,DOT,Closed
INC500211,2023-12-24 20:35:00,2023-12-24 20:35:00,Illegal Parking,QUEENS,DEP,Open
INC500212,2023-12-06 08:28:00,2023-12-08 08:28:00,Illegal Parking,QUEENS,DOT,Closed
INC500213,2023-03-31 09:06:00,2023-04-01 09:06:00,Illegal Parking,BRONX,DEP,Closed
INC500214,2023-08-18 03:25:00,2023-08-18 03:25:00,Noise - Residential,BROOKLYN,DSNY,Closed
INC500215,2023-01-28 00:35:00,2023-01-30 00:35:00,Rodent,BROOKLYN,DOT,Open
INC500216,2023-02-24 01:20:00,2023-02-26 01:20:00,Illegal Parking,MANHATTAN,DOB,Closed
INC500217,2023-12-26 10:37:00,2024-01-02 10:37:00,Noise - Residential,BRONX,DOT,Closed
INC500218,2023-10-11 06:42:00,2023-10-14 06:42:00,Noise - Residential,BROOKLYN,DEP,Closed
INC500219,2023-12-31 11:09:00,2024-01-01 11:09:00,Street Condition,BROOKLYN,NYC 311,Open
INC500220,2023-06-23 08:07:00,2023-06-23 08:07:00,Rodent,BRONX,DSNY,Closed
INC500221,2023-06-15 09:24:00,2023-06-16 09:24:00,Rodent,BROOKLYN,DOB,Closed
INC500222,2023-06-21 19:00:00,2023-06-23 19:00:00,Rodent,MANHATTAN,NYPD,Closed
INC500223,2023-04-05 13:29:00,2023-04-06 13:29:00,Blocked Driveway,BROOKLYN,DSNY,Closed
INC500224,2023-08-19 19:48:00,2023-08-29 19:48:00,Blocked Driveway,BRONX,NYPD,Closed
INC500225,2023-03-03 18:42:00,2023-03-17 18:42:00,Street Light Condition,MANHATTAN,DOT,Pending
INC500226,2023-10-03 12:07:00,2023-10-03 12:07:00,Heat,QUEENS,NYC 311,Closed
INC500227,2023-01-04 01:27:00,2023-01-05 01:27:00,Illegal Parking,STATEN ISLAND,DSNY,Closed
INC500228,2023-10-03 20:09:00,2023-10-05 20:09:00,Noise - Residential,MANHATTAN,DOT,Closed
INC500229,2023-09-05 00:56:00,2023-09-06 00:56:00,Derelict Vehicle,MANHATTAN,DOT,Closed
INC500230,2023-07-24 18:04:00,2023-07-25 18:04:00,Sewer,MANHATTAN,NYPD,Closed
INC500231,2023-05-23 18:07:00,2023-05-25 18:07:00,Sewer,STATEN ISLAND,DOB,Closed
INC500232,2023-07-03 20:38:00,2023-07-08 20:38:00,Noise - Residential,BROOKLYN,DOB,Closed
INC500233,2023-04-03 14:06:00,2023-04-03 14:06:00,Blocked Driveway,STATEN ISLAND,DOB,Open
INC500234,2023-08-24 12:12:00,2023-09-07 12:12:00,Blocked Driveway,MANHATTAN,DOT,Closed
INC500235,2023-05-08 18:44:00,2023-05-10 18:44:00,Noise - Residential,BRONX,DEP,Pending
INC500236,2023-12-23 03:53:00,2023-12-25 03:53:00,Illegal Parking,STATEN ISLAND,NYC 311,Closed
INC500237,2023-03-20 11:19:00,2023-03-21 11:19:00,Street Condition,MANHATTAN,DOT,Closed
INC500238,2023-12-28 08:12:00,2024-01-02 08:12:00,Noise - Residential,QUEENS,DOB,Closed
INC500239,2023-01-08 04:35:00,2023-01-08 04:35:00,Illegal Parking,STATEN ISLAND,DSNY,Closed
INC500240,2023-12-13 05:34:00,2023-12-14 05:34:00,Blocked Driveway,STATEN ISLAND,NYPD,Closed
INC500241,2023-09-28 13:33:00,2023-10-01 13:33:00,Noise - Residential,QUEENS,NYC 311,Closed
INC500242,2023-05-29 07:47:00,2023-06-05 07:47:00,Illegal Parking,MANHATTAN,DEP,Closed
INC500243,2023-09-17 13:01:00,2023-09-19 13:01:00,Street Light Condition,QUEENS,DOB,Closed
INC500244,2023-02-28 20:11:00,2023-02-28 20:11:00,Illegal Parking,MANHATTAN,DOB,Closed
INC500245,2023-05-09 13:12:00,2023-05-11 13:12:00,Noise - Residential,BROOKLYN,DOT,Closed
INC500246,2023-02-18 22:59:00,2023-02-18 22:59:00,Blocked Driveway,QUEENS,NYPD,Closed
INC500247,2023-08-02 07:44:00,2023-08-02 07:44:00,Heat,STATEN ISLAND,NYC 311,Open
INC500248,2023-09-08 21:50:00,2023-09-13 21:50:00,Heat,BRONX,DEP,Closed
INC500249,2023-12-07 08:59:00,2023-12-10 08:59:00,Noise - Residential,BROOKLYN,DOT,Open
INC500250,2023-05-07 23:52:00,2023-05-07 23:52:00,Street Condition,QUEENS,DOT,Closed
INC500251,2023-04-28 22:47:00,2023-05-01 22:47:00,Blocked Driveway,MANHATTAN,DSNY,Pending
INC500252,2023-10-17 11:22:00,2023-10-19 11:22:00,Noise - Residential,BROOKLYN,NYPD,Closed
INC500253,2023-08-17 14:21:00,2023-08-18 14:21:00,Water System,MANHATTAN,DSNY,Open
INC500254,2023-07-16 03:17:00,2023-07-23 03:17:00,Noise - Residential,QUEENS,DOB,Closed
INC500255,2023-03-14 10:44:00,2023-03-15 10:44:00,Derelict Vehicle,STATEN ISLAND,NYC 311,Closed
INC500256,2023-02-09 04:33:00,2023-02-10 04:33:00,Noise - Residential,BRONX,DEP,Closed
INC500257,2023-03-26 13:41:00,2023-04-02 13:41:00,Street Condition,QUEENS,DOB,Closed
INC500258,2023-02-07 01:51:00,2023-02-07 01:51:00,Street Condition,BRONX,DOB,Open
